order_date,region,category,channel,customer_segment,product_id,quantity,unit_price,discount_pct,revenue,is_returning_customer,notes
2024-12-11,South,Apparel,Online,Consumer,SKU-1039,5,11.49,0.2,45.96,False,expedited shipping requested
2025-06-10,North,Apparel,Online,Consumer,SKU-1000,6,27.35,0.0,164.1,False,
2024-12-17,North,Books,Partner,Consumer,SKU-1058,11,17.02,0.1,168.5,False,
2025-01-17,North,Books,Retail Store,Consumer,SKU-1033,3,51.62,0.15,131.63,True,gift wrap
2025-01-07,West,Sports,Retail Store,SMB,SKU-1016,10,26.5,0.0,265.0,False,
2025-05-21,Central,Home & Kitchen,Marketplace,Consumer,SKU-1105,8,83.87,0.0,670.96,True,promo code applied
2025-12-19,East,Home & Kitchen,Retail Store,Consumer,SKU-1051,8,9.1,0.0,72.8,False,gift wrap
2025-06-04,North,Electronics,Online,SMB,SKU-1113,3,57.59,0.0,172.77,False,first-time customer
2026-04-06,Central,Electronics,Online,Consumer,SKU-1084,7,29.87,0.1,188.18,False,expedited shipping requested
2025-05-22,North,Apparel,Online,Consumer,SKU-1052,3,51.09,0.2,122.62,False,
2025-03-27,Central,Apparel,Retail Store,SMB,SKU-1054,1,47.51,0.0,47.51,False,first-time customer
2025-11-16,West,Home & Kitchen,Online,Enterprise,SKU-1022,9,40.31,0.05,344.65,False,
2026-02-09,East,Sports,Online,Consumer,SKU-1040,6,138.76,0.0,832.56,False,
2025-11-18,West,Toys,Marketplace,Consumer,SKU-1105,4,,0.05,274.55,True,
2026-04-09,South,Sports,Online,Consumer,SKU-1095,10,69.23,0.1,623.07,True,promo code applied
2025-12-28,Central,Apparel,Online,Consumer,SKU-1082,7,61.0,0.15,362.95,True,bulk order
2026-03-02,North,Home & Kitchen,Retail Store,Consumer,SKU-1052,4,67.18,0.2,214.98,True,
2025-01-13,East,Toys,Partner,Consumer,SKU-1028,8,40.14,0.0,321.12,True,
2025-12-09,West,Sports,Retail Store,Consumer,SKU-1053,5,35.79,0.15,152.11,True,bulk order
2025-08-16,South,Electronics,Retail Store,Consumer,SKU-1079,5,27.0,0.0,135.0,False,
2026-02-07,East,Toys,Partner,SMB,SKU-1099,5,160.4,0.1,721.8,False,expedited shipping requested
2025-08-04,West,Books,Partner,SMB,SKU-1081,4,156.22,0.0,624.88,False,first-time customer
2026-03-20,Central,Sports,Retail Store,Consumer,SKU-1068,11,78.45,0.0,862.95,True,
2025-07-18,North,Electronics,Online,Consumer,SKU-1115,5,91.44,0.2,365.76,False,gift wrap
2025-11-24,Central,Electronics,Online,Consumer,SKU-1007,2,33.04,0.0,66.08,True,
2025-02-02,East,Apparel,Online,Consumer,SKU-1093,6,57.41,0.0,344.46,False,
2026-05-02,South,Sports,Online,Consumer,SKU-1038,5,51.55,0.2,206.2,False,gift wrap
2025-10-02,West,Electronics,Partner,Consumer,SKU-1110,9,50.77,0.1,411.24,True,bulk order
2025-05-11,West,Electronics,Online,Consumer,SKU-1004,7,72.79,0.2,407.62,False,bulk order
2025-07-17,North,Toys,Online,Consumer,SKU-1009,2,59.1,0.0,118.2,False,
2025-09-03,North,Home & Kitchen,Online,Consumer,SKU-1047,7,46.6,0.0,326.2,False,expedited shipping requested
2026-04-09,West,Electronics,Online,Consumer,SKU-1117,1,61.56,0.05,58.48,False,expedited shipping requested
2025-07-21,North,Electronics,Partner,Consumer,SKU-1068,6,59.06,0.05,336.64,False,
2025-05-25,North,Electronics,Online,Enterprise,SKU-1053,9,56.31,0.0,506.79,True,bulk order
2026-05-13,West,Electronics,Online,Consumer,SKU-1109,6,72.59,0.0,435.54,False,first-time customer
2025-09-10,East,Toys,Online,SMB,SKU-1103,7,164.88,0.1,1038.74,True,bulk order
2025-03-12,Central,Sports,Online,Consumer,SKU-1106,8,37.87,0.1,272.66,False,
2025-10-11,South,Apparel,Online,SMB,SKU-1092,1,21.54,0.15,18.31,False,promo code applied
2026-05-06,West,Books,Online,Enterprise,SKU-1046,2,74.52,0.0,149.04,False,first-time customer
2025-10-25,West,Sports,Online,Consumer,SKU-1066,1,119.83,0.0,119.83,False,gift wrap
2026-02-12,South,Home & Kitchen,Retail Store,Consumer,SKU-1106,5,51.57,0.15,219.17,True,bulk order
2025-07-24,Central,Home & Kitchen,Online,SMB,SKU-1007,11,30.36,0.15,283.87,False,
2026-03-24,East,Apparel,Retail Store,SMB,SKU-1111,6,55.99,0.15,285.55,True,gift wrap
2025-02-14,South,Sports,Retail Store,Consumer,SKU-1031,8,19.01,0.15,129.27,False,expedited shipping requested
2025-06-25,North,Toys,Online,SMB,SKU-1039,8,31.43,0.0,251.44,False,first-time customer
2026-03-24,North,Books,Online,Consumer,SKU-1023,7,55.3,0.0,387.1,True,promo code applied
2025-12-28,West,Electronics,Retail Store,SMB,SKU-1096,3,56.54,0.0,169.62,True,
2024-12-03,North,Apparel,Marketplace,SMB,SKU-1097,5,44.99,0.15,191.21,True,bulk order
2026-05-05,South,Apparel,Retail Store,Consumer,SKU-1002,4,57.16,0.0,228.64,False,
2026-03-16,North,Apparel,Partner,Enterprise,SKU-1057,5,49.47,0.1,222.62,True,first-time customer
2025-10-05,North,Books,Partner,SMB,SKU-1012,1,52.15,0.15,44.33,False,
2025-06-09,South,Apparel,Partner,Enterprise,SKU-1048,9,70.42,0.0,633.78,False,
2025-05-06,North,Sports,Online,Consumer,SKU-1096,10,87.76,0.1,789.84,False,
2026-01-03,Central,Sports,Partner,Consumer,SKU-1017,8,23.4,0.1,168.48,False,bulk order
2026-03-03,West,Electronics,Online,Consumer,SKU-1101,8,64.88,0.0,519.04,True,
2025-03-28,North,Sports,Online,Consumer,SKU-1112,9,66.02,0.2,475.34,False,
2025-01-13,North,Toys,Retail Store,Enterprise,SKU-1111,1,19.74,0.15,16.78,False,promo code applied
2025-01-04,Central,Electronics,Online,Consumer,SKU-1089,5,39.93,0.0,199.65,False,
2025-12-16,Central,Home & Kitchen,Online,Consumer,SKU-1102,10,69.16,0.1,622.44,False,
2025-01-28,West,Electronics,Online,Consumer,SKU-1024,6,93.07,0.0,558.42,False,
2025-01-16,South,Apparel,Online,Consumer,SKU-1019,11,37.84,0.0,416.24,False,first-time customer
2025-04-21,West,Toys,Retail Store,Consumer,SKU-1015,3,63.61,0.2,152.66,True,bulk order
2025-12-09,North,Home & Kitchen,Online,Consumer,SKU-1076,2,50.66,0.05,96.25,True,
2024-12-26,West,Toys,Retail Store,SMB,SKU-1116,8,71.61,0.15,486.95,False,
2026-01-11,West,Books,Marketplace,Consumer,SKU-1022,4,36.33,0.2,116.26,False,first-time customer
2025-01-25,East,Books,Retail Store,Consumer,SKU-1060,6,25.33,0.2,121.58,True,
2025-08-24,West,Toys,Online,SMB,SKU-1066,5,27.91,0.2,111.64,True,bulk order
2026-04-21,Central,Home & Kitchen,Online,SMB,SKU-1031,1,119.98,0.0,119.98,False,
2025-11-30,West,Sports,Online,Consumer,SKU-1073,4,78.37,0.15,266.46,True,first-time customer
2026-04-13,Central,Toys,Online,SMB,SKU-1012,2,69.86,0.15,118.76,False,
2026-02-20,East,Electronics,Online,SMB,SKU-1023,6,,0.0,393.36,True,
2025-05-19,East,Electronics,Online,SMB,SKU-1082,5,96.24,0.0,481.2,False,bulk order
2025-02-12,South,Home & Kitchen,Online,Consumer,SKU-1039,3,53.38,0.0,160.14,True,gift wrap
2026-01-07,West,Apparel,Online,Enterprise,SKU-1108,1,77.73,0.0,77.73,True,bulk order
2025-10-06,Central,Apparel,Online,Enterprise,SKU-1001,6,40.46,0.0,242.76,False,gift wrap
2025-05-07,West,Toys,Retail Store,Consumer,SKU-1036,5,77.52,0.2,310.08,False,
2025-05-11,South,Toys,Online,Consumer,SKU-1008,7,97.03,0.15,577.33,False,
2025-06-22,North,Home & Kitchen,Retail Store,Consumer,SKU-1083,10,100.3,0.0,1003.0,False,
2025-10-26,West,Toys,Online,Enterprise,SKU-1007,11,99.37,0.0,1093.07,False,gift wrap
2026-02-02,Central,Toys,Online,Consumer,SKU-1080,7,50.38,0.2,282.13,False,bulk order
2026-04-05,West,Home & Kitchen,Online,Consumer,SKU-1072,2,49.49,0.0,98.98,False,gift wrap
2025-01-30,West,Home & Kitchen,Retail Store,Consumer,SKU-1020,2,71.53,0.0,143.06,False,expedited shipping requested
2026-04-12,North,Electronics,Online,SMB,SKU-1021,4,33.4,0.1,120.24,False,first-time customer
2025-07-23,West,Apparel,Partner,SMB,SKU-1011,11,59.47,0.05,621.46,True,
2025-10-18,West,Home & Kitchen,Online,Consumer,SKU-1015,6,39.99,0.0,239.94,False,gift wrap
2026-01-08,West,Apparel,Retail Store,Consumer,SKU-1028,7,61.69,0.0,431.83,False,gift wrap
2026-01-16,West,Sports,Online,Consumer,SKU-1059,8,65.23,0.05,495.75,True,bulk order
2024-12-24,North,Sports,Online,Consumer,SKU-1001,4,147.82,0.2,473.02,True,bulk order
2026-04-13,North ,Electronics,Online,Consumer,SKU-1015,6,26.38,0.0,158.28,False,
2025-11-27,North,Electronics,Online,Consumer,SKU-1109,2,88.89,0.15,151.11,False,promo code applied
2025-08-30,West,Apparel,Marketplace,Enterprise,SKU-1107,5,74.0,0.0,370.0,False,expedited shipping requested
2025-10-31,South,Home & Kitchen,Marketplace,Consumer,SKU-1083,8,23.64,0.0,189.12,False,
2025-06-06,North,Apparel,Online,SMB,SKU-1008,7,93.8,0.15,558.11,False,
2025-11-07,North,Electronics,Online,SMB,SKU-1113,5,21.91,0.0,109.55,False,
2025-06-01,East,Sports,Online,Consumer,SKU-1088,8,44.72,0.15,304.1,False,
2025-09-03,North,Home & Kitchen,Online,Consumer,SKU-1057,10,54.18,0.15,460.53,False,promo code applied
2026-01-20,West,Home & Kitchen,Online,Consumer,SKU-1035,11,51.09,0.0,561.99,False,expedited shipping requested
2025-08-02,North,Toys,Online,Consumer,SKU-1037,1,46.93,0.05,44.58,True,gift wrap
2025-05-25,East,Home & Kitchen,Retail Store,Consumer,SKU-1087,10,77.11,0.15,655.44,True,bulk order
2025-03-29,East,Toys,Online,Consumer,SKU-1103,8,120.59,0.15,820.01,False,bulk order
2025-04-02,West,Books,Retail Store,Consumer,SKU-1104,1,28.65,0.0,28.65,False,
2025-06-02,North,Apparel,Online,SMB,SKU-1059,6,67.01,0.2,321.65,True,promo code applied
2026-03-01,West,Electronics,Online,SMB,SKU-1022,8,73.99,0.05,562.32,True,bulk order
2025-05-22,South,Home & Kitchen,Online,Consumer,SKU-1004,4,,0.0,127.0,False,gift wrap
